Page_Visits,Time_Spent,Demo_Requested,Trial_Signups,Emails_Clicked,Webinar_Attendance,Feature_Usage,Support_Interactions,Industry_Score,Company_Size,Revenue_Potential,Account_Creation_Days,Bounce_Rate,Device_Type,Referrals,Login_Frequency,Days_Active,Onboarding_Completion,Guided_Tour_Completion,Integration_Attempts,Content_Engagement,Customizations_Made
39,293,0,1,2,0,17,4,4.603553731348269,289,98044.53811093983,108,10.779224736554127,2,6,1,8,1,0,2,18,5
29,154,0,1,10,0,20,10,7.0967134350452445,40,526817.1660504134,144,48.758160339671605,1,1,10,26,0,1,1,8,8
15,281,1,1,5,0,1,2,9.837115832091518,288,57099.07844517637,24,69.7646382779725,2,10,8,26,1,0,5,6,2
43,202,1,1,1,1,20,4,0.50175350319974,197,110543.16630858052,169,52.98952965539412,2,8,24,7,1,1,0,13,7
8,74,1,1,7,0,6,9,0.9669455978756714,273,219389.38919624628,77,39.167559653554896,1,6,29,20,1,0,5,4,6
21,116,0,0,0,0,15,3,7.204567414627562,382,464350.2498821417,175,62.19144212838782,2,10,8,18,0,0,3,17,3
39,8,0,0,6,0,14,7,2.8182500329547198,264,433250.9323090279,76,96.86386653002755,2,5,19,18,1,1,3,8,9
19,99,1,0,1,0,20,4,1.8430139695009906,57,799691.8620027911,69,9.4907909766078,2,8,6,15,1,1,0,20,2
23,156,1,1,9,0,15,9,0.39361879819729495,298,739474.6538841134,101,39.00160607475607,2,0,12,20,0,1,3,6,6
11,141,1,1,5,1,14,7,0.21846711986201806,98,426318.2939907013,159,40.66058530460956,1,10,28,22,0,0,5,8,9
11,251,1,1,1,0,5,8,7.744856031197909,137,333704.20757562993,92,57.6967310468371,1,1,7,19,0,1,1,3,8
24,247,0,0,1,0,6,3,1.3443342736955,376,316468.7840614986,92,15.21746018819179,1,0,16,22,0,1,5,16,9
36,35,1,1,9,0,17,6,4.677206159711509,87,773995.087294009,30,17.664302987046952,2,9,9,21,0,1,1,11,2
40,44,0,1,7,0,11,1,6.05896815179483,419,52072.40622126974,18,28.536138599785467,1,2,21,21,0,1,3,5,9
24,233,0,1,1,0,16,5,4.283518005688462,242,12821.649510605826,44,95.58700432685195,2,10,25,2,1,1,5,17,8
3,40,1,0,6,0,12,7,0.27106652336233106,199,795544.3919266481,155,73.41085812309026,2,4,22,8,1,0,3,7,7
22,227,1,1,2,0,15,6,7.8350150258790885,463,477146.3759890493,99,66.16933016915031,2,0,10,21,0,1,1,20,2
2,10,1,0,7,0,4,6,0.10513224541653488,437,130881.13855357598,154,81.69576873942623,1,3,10,11,1,0,3,14,7
24,224,0,1,6,0,18,7,7.61889894377484,310,235565.93459450125,121,12.757646891669294,1,7,10,18,0,1,4,2,3
44,79,1,0,7,0,3,6,8.933044937881228,84,932503.9530973826,115,85.93328197237517,1,5,20,23,1,1,2,1,5
30,8,1,0,6,1,8,4,4.328399210571723,242,859502.975624898,60,59.4832713887504,1,0,29,13,0,0,5,8,9
38,138,0,0,10,1,3,6,5.355424730977982,281,709785.0502239725,146,33.53290074589354,2,0,16,9,0,0,4,7,1
2,122,1,1,5,1,8,9,4.7698339261765375,323,482225.23033732653,56,81.58552557456903,1,2,1,9,1,0,3,3,7
21,98,0,1,6,1,18,2,3.892086186234388,252,520323.62619138573,31,80.25645343486241,1,9,17,17,1,0,3,1,8
33,66,1,0,4,0,10,4,8.874245353703603,190,975244.5352839587,101,84.57085817167271,1,7,30,7,1,1,2,13,6
12,198,0,0,6,1,20,6,8.939335106699906,439,965770.4438842871,59,11.551790010698216,1,10,26,9,1,0,3,1,7
22,207,1,1,0,1,17,8,3.3581636464153455,430,215269.04578583429,124,96.9361244995776,2,10,21,22,1,1,2,1,6
44,30,1,1,0,0,8,1,6.15069754014698,152,811104.5663053181,130,95.96261537897311,1,7,29,1,1,1,5,6,10
25,177,0,0,8,1,11,3,9.269075621458642,482,197242.6661670168,97,35.746964550174155,1,2,14,2,1,1,1,11,9
49,137,0,1,4,1,5,6,9.620584989413516,302,213537.4778839514,167,6.589401821191965,1,6,19,4,1,0,2,5,3
